FID,ROADWAY,FUNCLASS,BEGIN_POST,END_POST,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
8220,90500012,17,0,0.295,475.6874,6,90,Monroe,6,475.68740269656
8221,51610000,09,0.708,1.468,1226.082,3,51,Gulf,3,1226.08203347755
8222,51560018,09,0,0.535,877.4443,3,51,Gulf,3,877.444304341572
8223,10000082,17,0,0.949,1528.4064,7,10,Hillsborough,7,1528.40641950018
8224,90540017,19,0,0.145,231.5894,6,90,Monroe,6,231.589408830644
8225,16000084,17,0.072,0.677,972.6299,1,16,Polk,1,972.629936787198
8226,16000040,17,0,1.492,2380.9571,1,16,Polk,1,2380.95706396733
8227,10000003,08,0,0.45,724.8605,7,10,Hillsborough,7,724.86052977804
8228,09504000,19,0,0.005,8.0442,1,09,Highlands,1,8.04420724419052
8229,16000180,17,0,0.3,486.4092,1,16,Polk,1,486.409236648235
8230,90060116,09,0.047,0.552,810.3178,6,90,Monroe,6,810.317777888643
8231,51580006,09,0,0.663,1093.2305,3,51,Gulf,3,1093.23053752438
8232,51550024,09,0,1.515,2419.9058,3,51,Gulf,3,2419.90578085642
8233,51540003,09,0,0.238,374.2294,3,51,Gulf,3,374.229389131711
8234,90900004,19,0,0.25,405.5792,6,90,Monroe,6,405.579248515706
8235,10000631,09,0,1.015,1629.0277,7,10,Hillsborough,7,1629.0276754775
