FID,RDWYID,SIDE,VALUE_,EFFDATE,CNTLRDES,MAINTAGC,SDESTRET,SIGNALID,SIGNALNC,SIGSTRCT,TYPECABL,SEC_STAT,BEGPT,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,x,y
3151,70008000,C,02,24-FEB-1993,SR 513(S PATRICK DR),INDIAN HARBOR BEACH,TRADEWINDS/TOMAHAWK,70016,N/A,01,N/A,ON,1.579,5,70,Brevard,5,538883.338700001,3115029.354
3152,93280000,C,N/A,N/A,N/A,N/A,S DIXIE HWY,27960,02,01,N/A,ON,9.12,4,93,Palm Beach,4,594162.1854,2954163.1427
3153,75030000,C,02,01-JAN-1950,SR525(WASHINGTON ST),ORLANDO,WESTMORELAND DR,75142,N/A,01,N/A,ON,0.248,5,75,Orange,5,461532.959800001,3157513.4002
3154,86016000,C,02,N/A,N/A,N/A,OAKWOOD BLVD,N/A,N/A,03,02,ON,5.7,4,86,Broward,4,584029.916900001,2881279.7052
3155,10002003,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EXCLUSIVE,0.23,7,10,Hillsborough,7,351920.781700001,3086890.2499
3156,86020000,C,02,30-SEP-1975,N/A,N/A,2400 BLOCK/PLAZA ENT,2218,N/A,03,N/A,ON,3.243,4,86,Broward,4,588157.373600001,2893187.5584
3157,75010000,C,02,01-JAN-1950,SR500-600(US1792-441,ORANGE COUNTY,AMERICANA BV,75083,N/A,01,N/A,ON,9.44,5,75,Orange,5,461172.260500001,3150907.9435
3158,26070000,C,02,22-SEP-1988,N/A,CITY OF GAINESVILLE,NW 18TH ST/FLETCHER,N/A,N/A,01,N/A,ON,19.081,2,26,Alachua,2,369723.930399999,3280990.797
3159,72016000,C,02,25-JUN-2002,N/A,JACKSONVILLE,ARGYLE FOREST BLVD.,N/A,N/A,01,N/A,N/A,0.489,2,72,Duval,2,419407.047700001,3340763.1132
3160,13040001,C,02,N/A,SR 684 / US 41,MANATEE,44TH AVE CONNECTOR,453,N/A,01,N/A,ON,0.059,1,13,Manatee,1,345512.841000001,3038674.1881
3161,87030000,C,03,N/A,N/A,MIAMI-DADE,N/A,2025,N/A,01,N/A,ON,20.586,6,87,Miami-Dade,6,584295.6424,2865632.1824
3162,86090000,C,02,13-APR-1983,N/A,N/A,NW 64 AVE,2302,N/A,01,N/A,ON,1.333,4,86,Broward,4,576425.926000001,2894146.7
3163,55100000,C,02,N/A,N/A,CITY OF TALLAHASSEE,FAMU WAY,014,N/A,01,N/A,OFF,2.247,3,55,Leon,3,184764.741100002,3371170.03
3164,48003000,C,N/A,N/A,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,7.281,3,48,Escambia,3,-94049.4612999978,3391734.614
3165,48070000,C,02,N/A,N/A,ESCAMBIA COUNTY,SR 752 TEXAR DRIVE,125,N/A,01,N/A,ON,2.167,3,48,Escambia,3,-97352.6875999998,3384779.7356
3166,16006000,C,02,22-MAR-1991,SR 659 / COMBEE RD,POLK,MAINE AVE,560,N/A,01,N/A,ON,0.215,1,16,Polk,1,410754.9748,3098788.4449
3167,87053001,C,02,N/A,N/A,MIAMI-DADE,SW 17 AV,2222,N/A,01,N/A,ON,0.78,6,87,Miami-Dade,6,577950.269200002,2850694.4981
3168,92090000,C,02,28-FEB-2006,SR530(US192-IBMH),OSCEOLA COUNTY,SUPER TARGET,92060,N/A,01,N/A,ON,9.909,5,92,Osceola,5,453620.2242,3133843.3279
3169,87062000,C,02,N/A,N/A,MIAMI-DADE,NW 7 ST,3252,N/A,01,N/A,ON,5.064,6,87,Miami-Dade,6,571354.1957,2851279.2689
